id,age,monthly_income,collateral_value,loan_amount,city,state,collateral_debt,verified_restriction,dishonored_checks,expired_debts,banking_debts,commercial_debts,protests,informed_restriction,monthly_payment,informed_purpose,auto_brand,auto_model,auto_year,pre_approved,form_completed,sent_to_analysis,channel,zip_code,landing_page,landing_page_product,gender,education_level
173413,39.0,11400.0,15300.0,13770.0,Suzano,SP,0.0,0.0,0,0,0,0,0,0.0,726.75,investimento,Citroën,Xsara Picasso GLX /Brasil/Etoile 2.0 Mec,2004.0,1.0,0.0,0.0,display,8663XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Superior Completo
173412,38.0,9000.0,20996.0,15000.0,Campos dos Goytacazes,RJ,0.0,0.0,0,0,0,0,0,0.0,485.3,para investimentos em consultório ,Citroën,C3 GLX 1.4/ GLX Sonora 1.4 Flex 8V 5p,2010.0,1.0,1.0,1.0,search,2808XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Ensino Médio Completo
173410,53.0,3500.0,13922.0,11000.0,São José dos Campos,SP,0.0,0.0,0,0,0,0,0,0.0,804.08,debts_payment,Ford,Fiesta Personnalité 1.0 8V 66cv 5p,2004.0,1.0,0.0,0.0,search,1223XXXX,/emprestimos/solicitar,PersonalLoan,Unknown,Ensino Médio Completo
173405,46.0,15000.0,35000.0,25000.0,Rio de Janeiro,RJ,0.0,0.0,0,0,0,0,0,0.0,1041.67,Despesas gerais,Hyundai,Tucson 2.0 16V Aut.,2011.0,1.0,0.0,1.0,search,2262XXXX,/emprestimos/solicitar,PersonalLoan,male,Superior Completo
173404,39.0,5830.0,35000.0,5000.0,São Paulo,SP,4000.0,0.0,0,0,0,0,0,0.0,487.44,Pagar algumas outras dívidas,GM - Chevrolet,ONIX HATCH LS 1.0 8V FlexPower 5p Mec.,2013.0,1.0,0.0,0.0,Unknown,4232XXXX,Unknown,Unknown,female,Superior Completo
173402,36.0,3500000.0,22000.0,6000.0,Cabo Frio,RJ,0.0,0.0,0,0,0,0,0,0.0,194.12,envestimento,Audi,A1 Sport 1.4 TFSI 185cv 3p S-tronic,2013.0,1.0,0.0,0.0,direct,2892XXXX,/,HomePage,male,Fundamental Incompleto
173393,37.0,3500.0,17000.0,5000.0,Queimados,RJ,0.0,0.0,0,0,0,0,0,0.0,487.44,para comprar outro carro ,Honda,Fit LXL 1.4/ 1.4 Flex 8V/16V 5p Mec.,2012.0,1.0,0.0,0.0,display,2631XXXX,/emprestimos/solicitar,PersonalLoan,male,Fundamental Completo
173391,49.0,2200.0,15000.0,6000.0,Catu,BA,0.0,0.0,0,0,0,0,0,0.0,335.48,Reforma em moradia,Fiat,Siena Celebration 1.0 Fire Flex 8V 4p,2007.0,1.0,0.0,0.0,search,4811XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Ensino Médio Completo
173386,58.0,3500.0,14000.0,5000.0,Macapá,AP,0.0,0.0,0,0,0,0,0,0.0,487.44,fazer investimento no escritorio,Fiat,Palio Celebration 1.0 Fire Flex 8V 4p,2007.0,1.0,0.0,1.0,social,6890XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Unknown
173385,50.0,10000.0,35000.0,31500.0,Mesquita,RJ,0.0,0.0,0,0,0,0,0,0.0,2100.0,investimento ,GM - Chevrolet,Meriva Prem.EASYTRONIC 1.8 FlexPower 5p,2012.0,1.0,0.0,0.0,remarketing,2658XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Fundamental Incompleto
173384,21.0,5000.0,15000.0,13500.0,São Paulo,SP,0.0,0.0,0,0,0,0,0,0.0,1462.5,Quitar dividas com juros mais altos,Fiat,Fiorino Furg.1.5/1.3/1.3 Fire/1.3 F.Flex,2007.0,1.0,0.0,0.0,display,3129XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,female,Unknown
173382,37.0,3000.0,20000.0,7000.0,Manaus,AM,3000.0,0.0,0,0,0,0,0,0.0,466.67,pagamentos diversos,GM - Chevrolet,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,2011.0,1.0,1.0,0.0,display,6903XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173380,27.0,8000.0,90000.0,34849.0,Campos dos Goytacazes,RJ,0.0,0.0,0,0,0,0,0,0.0,1996.0,Para investir em um novo negócio food truck,Fiat,Ducato Minibus 2.3 T.Alto ME Diesel,2016.0,1.0,0.0,0.0,search,2805XXXX,/emprestimo/garantia-veiculo,AutoRefinancing,Unknown,Unknown
173379,19.0,1300.0,17000.0,5000.0,Uberlândia,MG,4000.0,0.0,0,0,0,0,0,0.0,208.33,Para quitar meu veiculo,Ford,KA 1.0 8V/1.0 8V ST Flex 3p,2010.0,1.0,0.0,0.0,display,3841XXXX,/emprestimos/solicitar,PersonalLoan,female,Unknown
173375,35.0,4000.0,15000.0,12000.0,Itaquaquecetuba,SP,0.0,0.0,0,0,0,0,0,0.0,388.24,Unknown,Fiat,Uno Mille 1.0 Fire/ F.Flex/ ECONOMY 4p,2007.0,1.0,0.0,0.0,display,8575XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173374,49.0,2500.0,70000.0,6000.0,São Manuel,SP,0.0,0.0,0,0,0,0,0,0.0,250.0,Renegociação ,VW - VolksWagen,Gol BLACK 1.0 Mi Total Flex 8V 4p,2012.0,1.0,0.0,0.0,seo,1865XXXX,/emprestimos/solicitar,PersonalLoan,male,Fundamental Incompleto
173368,37.0,3000.0,14000.0,10000.0,Cascavel,PR,0.0,0.0,0,0,0,0,0,1.0,416.67,Investimento ,Renault,Kangoo RN/Expression 1.6 16V / 1.6 8V 5p,2006.0,1.0,0.0,0.0,search,8580XXXX,/emprestimos/solicitar,PersonalLoan,female,Fundamental Completo
173362,48.0,4000.0,19000.0,12000.0,Montes Claros,MG,0.0,1.0,0,0,1,0,0,0.0,500.0,outros recursos,Fiat,Palio 1.0 ECONOMY Fire Flex 8V 4p,2010.0,1.0,0.0,0.0,seo,3940XXXX,/blog/artigos/emprestimos/refinanciamento-de-veiculo-santander,Unknown,male,Superior Incompleto
173355,44.0,3200.0,46000.0,5000.0,Botucatu,SP,0.0,0.0,0,0,0,0,0,0.0,279.56,qiuitar algumas contas,GM - Chevrolet,PRISMA Sed. LT 1.0 8V FlexPower 4p,2015.0,1.0,0.0,0.0,display,1860XXXX,/emprestimos/solicitar,PersonalLoan,female,Unknown
173354,28.0,1625.0,13000.0,11700.0,Pedreira,SP,0.0,0.0,0,0,0,0,0,0.0,378.53,REFORMA,VW - VolksWagen,Gol City (Trend) 1.0 Mi Total Flex 8V 2p,2008.0,1.0,0.0,0.0,remarketing,1392XXXX,/,HomePage,female,Ensino Médio Completo
173353,21.0,5500.0,70000.0,5000.0,Rio de Janeiro,RJ,0.0,0.0,0,0,0,0,0,0.0,541.67,Investimento,Hyundai,i30 1.8 16V Aut. 5p,2015.0,1.0,0.0,0.0,search,2241XXXX,/emprestimos/solicitar,PersonalLoan,male,Unknown
173350,40.0,13000.0,123000.0,93600.0,RECANTO DAS EMAS,DF,0.0,0.0,0,0,0,0,0,0.0,3900.0,adapitação para cadeirante no propio veiculo,Renault,Master 2.3 dCi Executive 16L Longo Dies,2016.0,1.0,0.0,0.0,Unknown,7263XXXX,Unknown,Unknown,female,Ensino Médio Completo
173349,49.0,3000.0,30000.0,21600.0,São Paulo,SP,4886.0,0.0,0,0,0,0,0,0.0,900.0,"saldar todas as dívidas,e ficar somente com empréstimo.",Hyundai,HB20 Comf./C.Plus/C.Style 1.0 Flex 12V,2014.0,1.0,1.0,0.0,search,4455XXXX,/emprestimos/solicitar,PersonalLoan,female,Ensino Médio Completo
173347,40.0,5000.0,21000.0,15000.0,Jundiaí,SP,0.0,0.0,0,0,0,0,0,0.0,625.0,fluxo de caixa,Honda,Fit LXL 1.4/ 1.4 Flex 8V/16V 5p Mec.,2007.0,1.0,0.0,1.0,direct,1321XXXX,/,HomePage,male,Unknown
173342,22.0,3000.0,40000.0,20000.0,Joinville,SC,0.0,0.0,0,0,0,0,0,0.0,833.33,reforma,Hyundai,Tucson 2.0 16V Aut.,2011.0,1.0,0.0,0.0,search,8922XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173330,19.0,2800.0,30000.0,20160.0,Luís Eduardo Magalhães,BA,0.0,0.0,0,0,0,0,0,0.0,840.0,Pagar dividas ,GM - Chevrolet,Corsa Hat. Joy 1.0/ 1.0 FlexPower 8V 5p,2007.0,1.0,0.0,0.0,display,4785XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173329,43.0,7500.0,24000.0,5000.0,São Paulo,SP,2500.0,0.0,0,0,0,0,0,0.0,487.44,PAGAR DÍVIDAS,GM - Chevrolet,Corsa Hat. Premium 1.4 8V ECONOFLEX 5p,2010.0,1.0,1.0,0.0,search,4286XXXX,/emprestimos/solicitar,PersonalLoan,female,Ensino Médio Completo
173324,25.0,1000.0,7000.0,5000.0,Nanuque,MG,0.0,0.0,0,0,0,0,0,0.0,208.33,Pra compra comida,Honda,Accord Sedã EX 3.5 V6 24V,2008.0,1.0,0.0,0.0,search,3986XXXX,/,HomePage,male,Ensino Médio Incompleto
173321,24.0,1000.0,25000.0,6000.0,crato,CE,0.0,0.0,0,0,0,0,0,0.0,250.0,pagar dividas,GM - Chevrolet,"Corvette 5.7/ 6.0, 6.2 Targa/Stingray",2014.0,1.0,0.0,0.0,display,6310XXXX,/emprestimos/solicitar,PersonalLoan,female,Unknown
173319,41.0,20000.0,60000.0,54000.0,Brasília,DF,0.0,0.0,0,0,0,0,0,0.0,2250.0,Capital de giro,Hyundai,Sonata 2.4 16V 182cv 4p Aut.,2011.0,1.0,1.0,1.0,remarketing,7192XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Superior Completo
173314,30.0,1800.0,10000.0,6000.0,Loanda,PR,4000.0,0.0,0,0,0,0,0,0.0,250.0,Fazer capital de giro,Peugeot,206 Moonlight 1.4 Flex 8V 5p,2007.0,1.0,0.0,0.0,search,8790XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173307,51.0,2500.0,8000.0,7200.0,barueri,SP,0.0,1.0,0,0,0,1,0,1.0,300.0,saude,GM - Chevrolet,Corsa Wind 1.0 MPF/MilleniumI/ EFI 4p,1997.0,1.0,0.0,0.0,display,6411XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173304,64.0,2500.0,29000.0,6000.0,Osasco,SP,0.0,0.0,0,0,0,0,0,1.0,400.0,para pagar dívidas,VW - VolksWagen,CROSSFOX 1.6 Mi Total Flex 8V 5p,2010.0,1.0,1.0,1.0,remarketing,6120XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Superior Completo
173303,26.0,1800.0,10500.0,9450.0,Rio de Janeiro,RJ,1150.0,1.0,0,0,0,1,0,0.0,305.74,"Pagar as dívidas do carro e pagar o cartão de crédito , pois os juros do parcelamento do cartão é muito elevado",GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 3p,2010.0,1.0,1.0,0.0,search,2051XXXX,/emprestimo/garantia-veiculo,AutoRefinancing,male,Superior Incompleto
173301,32.0,2000.0,26000.0,6000.0,Santos,SP,0.0,0.0,0,0,0,0,0,0.0,400.0,iniciar comércio ,VW - VolksWagen,Polo SPORTLINE 1.6 Mi Total Flex 8V 5p,2009.0,1.0,0.0,0.0,search,1104XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173300,35.0,12000.0,20000.0,7000.0,Goiânia,GO,0.0,0.0,0,0,0,0,0,0.0,466.67,Quitar empréstimo mais caro,Fiat,UNO WAY 1.0 EVO Fire Flex 8V 5p,2011.0,1.0,1.0,0.0,display,7436XXXX,/emprestimos/solicitar,PersonalLoan,male,Superior Completo
173299,25.0,1500000.0,13000.0,10000.0,Franco da Rocha,SP,0.0,1.0,0,0,0,1,0,1.0,416.67,para em vestimento ,VW - VolksWagen,Gol CLi / CL/ Copa/ Stones 1.6,1993.0,1.0,0.0,0.0,display,7853XXXX,/emprestimos/solicitar,PersonalLoan,male,Unknown
173298,31.0,2000.0,20000.0,5000.0,Nova Ipixuna,PA,0.0,1.0,0,0,0,1,0,1.0,161.77,investimento,Ford,Fiesta Sed. 1.6 8V Flex 4p,2009.0,1.0,0.0,0.0,display,6858XXXX,/emprestimos/solicitar,PersonalLoan,female,Ensino Médio Completo
173290,42.0,25000.0,80000.0,20000.0,São Paulo,SP,0.0,0.0,0,0,0,0,0,0.0,1949.74,Quitar contas em geral,Jeep,Cherokee Sport 3.7 4x4 V6 12V Aut.,2012.0,1.0,1.0,1.0,search,5717XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173287,39.0,14000.0,23000.0,20700.0,Brasília,DF,1000.0,0.0,0,0,0,0,0,0.0,2242.5,Acerto de contas.,VW - VolksWagen,Polo Sedan 1.6 Mi Total Flex 8V 4p,2007.0,1.0,0.0,0.0,remarketing,7169XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Ensino Médio Completo
173283,24.0,3500.0,10000.0,5000.0,Santo andrr,SP,0.0,0.0,0,0,0,0,0,0.0,208.33,Paga dividas,Suzuki,Baleno 1.6 16V Mec.,2000.0,1.0,0.0,0.0,display,9150XXXX,/emprestimos/solicitar,PersonalLoan,female,Fundamental Completo
173279,57.0,8000.0,28000.0,20000.0,Lagoa Santa,MG,0.0,0.0,0,0,0,0,0,0.0,849.03,pagamentos de contas e diverços...,Fiat,Palio Weekend Adventure LOCKER 1.8 Flex,2009.0,1.0,1.0,0.0,seo,3340XXXX,/emprestimos,Unknown,male,Unknown
173277,20.0,2400.0,11000.0,6000.0,Alta Floresta,MT,1500.0,1.0,0,0,0,1,0,1.0,400.0,Limpar meu nome no SPC,Ford,EcoSport XL 1.6/ 1.6 Flex 8V 5p,2009.0,1.0,1.0,0.0,direct,7858XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Ensino Médio Completo
173276,29.0,11000.0,40000.0,20000.0,Guarulhos,SP,0.0,0.0,0,0,0,0,0,0.0,1145.0,cobrir cheque especial,Hyundai,Tucson 2.0 16V Aut.,2011.0,1.0,0.0,1.0,search,7193XXXX,/emprestimo/garantia-veiculo,AutoRefinancing,Unknown,Superior Completo
173273,40.0,7500.0,35000.0,31500.0,Belém,PA,0.0,0.0,0,0,0,0,0,0.0,1312.5,Investimento em negócio ,Hyundai,Tucson 2.7 MPFI 24V 175cv Aut.,2008.0,1.0,1.0,1.0,search,6612XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Superior Completo
173263,24.0,6000.0,28482.0,14000.0,Vila Velha,ES,5000.0,0.0,0,0,0,0,0,0.0,689.29,others,VW - VolksWagen,Fox 1.0 Mi Total Flex 8V 5p,2013.0,1.0,1.0,0.0,search,2910XXXX,/emprestimos/solicitar,PersonalLoan,Unknown,Unknown
173262,66.0,4250.0,40000.0,5000.0,Rio de Janeiro,RJ,0.0,0.0,0,0,0,0,0,0.0,208.33,Vários gastos,GM - Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2014.0,1.0,0.0,0.0,search,2078XXXX,/emprestimos/solicitar,PersonalLoan,male,Superior Incompleto
173258,50.0,4000.0,27000.0,10000.0,Inhambupe,BA,0.0,1.0,0,0,0,1,0,1.0,416.67,Unknown,Toyota,Corolla XLi 1.6 16V 110cv Aut.,2006.0,1.0,0.0,0.0,display,4849XXXX,/,HomePage,male,Superior Completo
173257,32.0,2800.0,22000.0,5000.0,São Paulo,SP,0.0,0.0,0,0,0,0,0,0.0,279.56,cartao de credito,Nissan,MARCH S 1.0 16V Flex Fuel 5p,2014.0,1.0,0.0,0.0,search,4775XXXX,/emprestimos/solicitar,PersonalLoan,female,Ensino Médio Completo
173255,34.0,1516.0,22000.0,6822.0,Louveira,SP,4904.0,0.0,0,0,0,0,0,0.0,454.8,PAGAR DIVIDAS E FICAR SÓ COM UMA. NO CASO O EMPRESTIMO.,GM - Chevrolet,Classic/ Classic LS 1.0 VHC FlexPower 4p,2013.0,1.0,0.0,0.0,search,1329XXXX,/emprestimos/solicitar,PersonalLoan,male,Superior Completo
173254,29.0,1480.0,10000.0,5000.0,Carapicuíba,SP,0.0,0.0,0,0,0,0,0,0.0,208.33,gastos variados,GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 3p,2006.0,1.0,0.0,0.0,search,6330XXXX,/,HomePage,male,Superior Completo
173252,27.0,5000.0,30000.0,27000.0,São Paulo,SP,0.0,0.0,0,0,0,0,0,0.0,873.54,investimento,Citroën,C3 Tendance 1.5 Flex 8V 5p Mec.,2016.0,1.0,0.0,0.0,Unknown,1302XXXX,Unknown,Unknown,female,Unknown
173250,48.0,25000.0,76000.0,68400.0,São Paulo,SP,0.0,0.0,0,0,0,0,0,0.0,2325.0,Unknown,MINI,COOPER S 1.6 Aut.,2013.0,1.0,0.0,1.0,search,1457XXXX,/emprestimo/garantia-veiculo,AutoRefinancing,Unknown,Superior Completo
173247,48.0,2000.0,14751.0,8000.0,Gravataí,RS,0.0,0.0,0,0,0,0,0,0.0,339.61,quitar compromissos e outros,Peugeot,206 SW Presence 1.4/ 1.4 Flex 8V 5p,2006.0,1.0,0.0,0.0,remarketing,9408XXXX,/emprestimos/garantia-imovel/solicitar,HomeRefinancing,male,Ensino Médio Incompleto
173246,31.0,3000.0,88000.0,15000.0,Rio Branco,AC,0.0,1.0,0,0,0,1,0,1.0,791.67,Reformar e vender o veículo,Mitsubishi,L200 Triton HPE 3.2 CD TB Int.Diesel Aut,2013.0,1.0,0.0,0.0,display,6990XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,female,Superior Incompleto
173244,26.0,2747.0,17000.0,8000.0,Marília,SP,0.0,0.0,0,0,0,0,0,0.0,533.33,Antecipação de Dividas ,VW - VolksWagen,Fox City 1.0Mi/ 1.0Mi Total Flex 8V 3p,2007.0,1.0,0.0,1.0,search,1751XXXX,/emprestimos/solicitar,PersonalLoan,male,Superior Completo
173242,34.0,15000.0,35716.0,30000.0,Rio de Janeiro,RJ,0.0,0.0,0,0,0,0,0,0.0,, ,Hyundai,i30 2.0 16V 145cv 5p Aut.,2010.0,1.0,0.0,1.0,affiliates,2053XXXX,/emprestimos/garantia-veiculo/guia-bolso,Unknown,Unknown,Superior Incompleto
173230,26.0,2600.0,32000.0,10000.0,Lucas do Rio Verde,MT,0.0,0.0,0,0,0,0,0,0.0,527.78,dar entrada na carta de credito ,VW - VolksWagen,CROSSFOX 1.6 Mi Total Flex 8V 5p,2011.0,1.0,0.0,0.0,search,7845XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173228,57.0,2500.0,23500.0,18000.0,Timóteo,MG,0.0,0.0,0,0,0,0,0,0.0,750.0,dividas,GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,2013.0,1.0,0.0,0.0,display,3518XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,female,Ensino Médio Completo
173221,33.0,8000.0,35502.0,5000.0,Guarapari,ES,0.0,0.0,0,0,0,0,0,0.0,, ,Ford,Focus Ghia  2.0 16V/ 2.0 16V Flex 5p Aut,2010.0,1.0,0.0,0.0,affiliates,2921XXXX,/emprestimos/garantia-veiculo/guia-bolso,Unknown,Unknown,Ensino Médio Completo
173220,57.0,5500.0,29500.0,10000.0,Praia Grande,SP,0.0,0.0,0,0,0,0,0,0.0,559.13,pequena reforma residência ,Fiat,Palio Weekend Adventure LOCKER 1.8 Flex,2009.0,1.0,0.0,1.0,social,1170XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Ensino Médio Incompleto
173217,33.0,1740.0,22800.0,5000.0,Piracicaba,SP,0.0,0.0,0,0,0,0,0,0.0,208.33,Reforma apartamento,Fiat,Idea HLX 1.8 mpi Flex 8V 5p,2006.0,1.0,1.0,0.0,search,1340XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,female,Ensino Médio Completo
173214,25.0,2200.0,18000.0,14000.0,Ji-Paraná,RO,0.0,0.0,0,0,0,0,0,0.0,583.33,Construção,VW - VolksWagen,Fox Plus 1.0Mi/ 1.0Mi Total Flex 8V 4p,2006.0,1.0,0.0,0.0,search,7690XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Ensino Médio Completo
173211,61.0,9800.0,25000.0,20000.0,Florianópolis,SC,0.0,0.0,0,0,0,0,0,0.0,647.07,para complementar a compra de um carro,Ford,Ka 1.0 SEL TiCVT Flex 5p,2017.0,1.0,0.0,0.0,social,8809XXXX,/emprestimos/solicitar,PersonalLoan,male,Superior Completo
173209,83.0,2500.0,28000.0,13000.0,Maringá,PR,0.0,0.0,0,0,0,0,0,0.0,551.87,estancar juros cartao de credito,VW - VolksWagen,VOYAGE 1.0/1.0 City Mi Total Flex 8V 4p,2013.0,1.0,1.0,1.0,search,8702XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Superior Incompleto
173206,47.0,4500.0,21000.0,18900.0,Montes Claros,MG,0.0,0.0,0,0,0,0,0,0.0,611.48,COMPRANDO,GM - Chevrolet,Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p,2012.0,1.0,1.0,0.0,display,3940XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Ensino Médio Completo
173201,58.0,4000.0,45000.0,26000.0,Uberlândia,MG,0.0,0.0,0,0,0,0,0,0.0,841.19,NEGOCIAR DIVIDAS,GM - Chevrolet,SPIN LTZ 1.8 8V Econo.Flex 5p Aut.,2013.0,1.0,1.0,1.0,seo,3840XXXX,/,HomePage,male,Ensino Médio Completo
173194,51.0,6000.0,25000.0,22500.0,São Paulo,SP,0.0,0.0,0,0,0,0,0,1.0,727.95,Quitar dívidas,Renault,SANDERO Privilège Hi-Flex 1.6 8V 5p,2012.0,1.0,1.0,0.0,Unknown,3143XXXX,Unknown,Unknown,male,Superior Completo
173193,43.0,3000.0,20000.0,18000.0,São Leopoldo,RS,0.0,0.0,0,0,0,0,0,0.0,825.0,para pagar contas,Renault,SANDERO Expression Hi-Flex 1.6 8V 5p,2011.0,1.0,1.0,0.0,search,9302XXXX,/financiamentos/veiculo/solicitar,AutoFin,female,Fundamental Incompleto
173186,25.0,3700.0,30000.0,10500.0,Rio Brilhante,MS,0.0,0.0,0,0,0,0,0,0.0,445.74,quitação de imovel,GM - Chevrolet,Vectra GT 2.0 MPFI 8V FlexPower Mec.,2011.0,1.0,0.0,0.0,display,7913XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Ensino Médio Completo
173185,27.0,1700.0,15000.0,5000.0,Jundiaí,SP,0.0,0.0,0,0,0,0,0,0.0,229.17,Pagar dívidas ,GM - Chevrolet,Celta Super 1.0 MPFI 8V FlexPower 5p,2009.0,1.0,1.0,1.0,referral,1320XXXX,/emprestimos/garantia-imovel/solicitar/,Unknown,female,Ensino Médio Completo
173183,42.0,6847.0,20000.0,9000.0,Olinda,PE,0.0,0.0,0,0,0,0,0,0.0,877.38,complementar o valor a ser pago,Fiat,UNO VIVACE ITALIA 1.0 EVO F. Flex 8V 5p,2015.0,1.0,0.0,0.0,Unknown,5314XXXX,Unknown,Unknown,male,Superior Completo
